"Unemployment Rates for Metropolitan Areas, 2020-2024 Annual Averages",,,,,,,
State FIPS code,LAUS area code,Metropolitan area title,2020,2021,2022,2023,2024
42,MT4227780000000,"Johnstown, PA",9.1,6.4,5.0,4.4,4.3
42,MT4229540000000,"Lancaster, PA",7.3,4.6,3.4,2.9,2.9
42,MT4230140000000,"Lebanon, PA",7.9,5.2,3.6,3.1,3.1
42,MT4237980000000,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",8.9,6.0,4.0,3.7,3.8
42,MT4238300000000,"Pittsburgh, PA",9.0,5.9,4.3,3.7,3.6
42,MT4239740000000,"Reading, PA",9.2,6.0,4.1,3.7,3.7
42,MT4242540000000,"Scranton--Wilkes-Barre, PA",10.0,7.0,4.8,4.4,4.2
42,MT4244300000000,"State College, PA",5.8,4.3,3.4,2.9,2.9
42,MT4248700000000,"Williamsport, PA",9.0,6.6,4.7,4.0,4.0
42,MT4249620000000,"York-Hanover, PA",7.9,5.1,3.6,3.2,3.4
44,MT4439300000000,"Providence-Warwick, RI-MA",9.8,5.8,3.7,3.4,4.5
45,MT4516700000000,"Charleston-North Charleston, SC",5.8,3.5,2.8,2.5,3.5
45,MT4517900000000,"Columbia, SC",5.2,3.7,3.1,2.9,4.0
45,MT4522500000000,"Florence, SC",6.1,4.4,3.5,3.3,4.5
45,MT4524860000000,"Greenville-Anderson-Greer, SC",5.5,3.4,2.9,2.7,3.8
45,MT4525940000000,"Hilton Head Island-Bluffton-Port Royal, SC",5.1,3.3,3.0,2.7,3.9
45,MT4534820000000,"Myrtle Beach-Conway-North Myrtle Beach, SC",8.1,4.8,3.8,3.5,4.7
45,MT4543900000000,"Spartanburg, SC",6.6,4.1,3.3,3.1,4.3
45,MT4544940000000,"Sumter, SC",6.6,4.5,3.8,3.8,5.2
46,MT4639660000000,"Rapid City, SD",4.7,2.6,1.9,1.8,1.8
46,MT4643620000000,"Sioux Falls, SD-MN",3.9,2.3,1.7,1.7,1.7
47,MT4716860000000,"Chattanooga, TN-GA",6.5,3.9,3.3,3.0,3.2
47,MT4717300000000,"Clarksville, TN-KY",7.1,4.6,3.8,3.9,4.1
47,MT4717420000000,"Cleveland, TN",6.6,4.3,3.6,3.5,3.7
47,MT4727180000000,"Jackson, TN",7.6,4.8,3.7,3.5,3.8
47,MT4727740000000,"Johnson City, TN",6.3,3.9,3.3,3.3,3.5
47,MT4728700000000,"Kingsport-Bristol, TN-VA",7.1,4.4,3.5,3.4,3.6
47,MT4728940000000,"Knoxville, TN",6.2,3.7,3.1,3.0,3.2
47,MT4732820000000,"Memphis, TN-MS-AR",8.7,6.2,4.1,3.8,4.1
47,MT4734100000000,"Morristown, TN",7.3,4.2,3.6,3.5,3.5
47,MT4734980000000,"Nashville-Davidson--Murfreesboro--Franklin, TN",7.1,3.8,2.8,2.6,2.8
48,MT4810180000000,"Abilene, TX",5.5,4.5,3.5,3.5,3.5
48,MT4811100000000,"Amarillo, TX",5.1,4.0,3.1,3.1,3.1
48,MT4812420000000,"Austin-Round Rock-San Marcos, TX",6.3,4.2,3.0,3.5,3.5
